Date,Close,High,Low,Open,Volume,RSI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Vol_Avg,Volume_Status,Daily_Change,Next_Day_Change,Label_Text,Label_Num
2026-04-30T00:00:00.000,250,258,244,258,47935600,39.31419201770909,-3.8789772975944175,-4.028703382614053,0.14972608501963514,84290092.85714285,LOW,-6,,TETAP,0
2026-04-29T00:00:00.000,256,264,252,262,59936700,41.59633065859103,-2.3917477982048467,-3.548649728877995,1.1569019306731483,88572264.28571428,LOW,-6,-6,TURUN,-1
2026-04-28T00:00:00.000,262,264,256,262,21144600,43.96621450660099,-1.0696221782828843,-3.113686541175531,2.0440643628926467,92561228.57142857,LOW,2,-6,TURUN,-1
2026-04-27T00:00:00.000,260,266,256,256,33829800,42.960341820360284,0.022539935556210366,-2.7999460626303194,2.82248599818653,98190107.14285715,LOW,4,2,NAIK,1
2026-04-24T00:00:00.000,256,272,254,270,73819100,40.9931777141351,1.6198444527027505,-1.902628061141359,3.5224725138441095,99032735.71428572,NORMAL,-12,4,NAIK,1
2026-04-23T00:00:00.000,268,286,266,284,87461900,45.35008539529565,4.04229720800322,0.04416767887377038,3.998129529129449,96157092.85714285,NORMAL,-18,-12,TURUN,-1
2026-04-22T00:00:00.000,286,290,284,288,41904100,53.23017683540466,5.853612583561244,1.8665249741502379,3.987087609411006,94485542.85714285,LOW,0,-18,TURUN,-1
2026-04-21T00:00:00.000,286,294,282,294,80378100,53.23017683540467,6.247638934421673,2.7271825685482267,3.520456365873446,96091728.57142857,NORMAL,-8,0,TETAP,0
2026-04-20T00:00:00.000,294,312,290,310,119993400,57.02757529233158,6.659685092291966,3.8210243685555767,2.838660723736389,97714607.14285715,NORMAL,-14,-8,TURUN,-1
2026-04-17T00:00:00.000,308,312,292,294,180325500,64.50544709801993,6.274192223358568,4.3907875917610735,1.8834046315974944,91522621.42857143,HIGH,18,-14,TURUN,-1
2026-04-16T00:00:00.000,290,294,284,284,103515000,57.917422229557225,4.265447620125656,3.47973988646843,0.7857077336572257,81346307.14285715,NORMAL,8,18,NAIK,1
2026-04-15T00:00:00.000,282,290,278,290,63441800,54.42651281513724,3.4722434520701313,3.556470690030013,-0.08422723795988185,81640035.71428572,NORMAL,-4,8,NAIK,1
2026-04-14T00:00:00.000,286,300,278,296,123470700,56.6066771354252,3.2238665909945894,4.197211501461974,-0.9733449104673852,82855864.28571428,NORMAL,-4,-4,TURUN,-1
2026-04-13T00:00:00.000,290,298,284,288,142905000,58.79355095934843,2.452682065171018,4.475329851003897,-2.022647785832879,116169514.28571428,NORMAL,0,-4,TURUN,-1
2026-04-10T00:00:00.000,290,296,284,284,107886000,58.79355095934842,1.0254220767173479,4.166902325301201,-3.141480248583853,120688150,NORMAL,6,0,TETAP,0
2026-04-09T00:00:00.000,284,294,270,280,115782200,56.62632508770407,-0.8111959023885333,3.3720099275206197,-4.183205829909153,118552028.57142857,NORMAL,4,6,NAIK,1
2026-04-08T00:00:00.000,280,284,262,262,99948900,55.166622073539706,-2.5326800007761676,2.493528311013139,-5.026208311789307,117636285.71428572,NORMAL,22,4,NAIK,1
2026-04-07T00:00:00.000,258,262,256,260,45626600,45.8614887563839,-4.285807995434197,1.3637823941083935,-5.649590389542591,121605521.42857143,LOW,-2,22,NAIK,1
2026-04-06T00:00:00.000,260,264,256,262,33560100,46.67932880272007,-4.221097792318631,1.769438195751059,-5.99053598806969,127248664.28571428,LOW,0,-2,TURUN,-1
2026-04-02T00:00:00.000,260,274,260,272,64060200,46.679328802720065,-4.280742619726539,2.1521529172809144,-6.432895537007453,142971442.85714287,LOW,-12,0,TETAP,0
2026-04-01T00:00:00.000,272,276,264,266,64390700,51.42354076212593,-4.29460576133107,2.676328004996611,-6.970933766327681,141767800,LOW,12,-12,TURUN,-1
2026-03-31T00:00:00.000,260,266,250,256,103098400,46.36142555481864,-5.471651360087037,2.168364407489795,-7.640015767576832,141440242.85714287,NORMAL,4,12,NAIK,1
2026-03-30T00:00:00.000,256,260,250,256,33305600,44.57363504230377,-5.67258372271607,2.509523146733212,-8.182106869449282,141124300,LOW,-6,4,NAIK,1
2026-03-27T00:00:00.000,262,274,260,270,37857100,46.74368076317049,-5.439263447777648,3.3702242083549354,-8.809487656132584,145960614.2857143,LOW,-8,-6,TURUN,-1
2026-03-26T00:00:00.000,270,286,266,284,107627200,49.741928418341644,-5.6732544648886005,3.9787892433327166,-9.652043708221317,151310121.42857143,NORMAL,-8,-8,TURUN,-1
2026-03-25T00:00:00.000,278,282,266,268,80463400,52.89222736656717,-6.703937479966328,3.9428035390881675,-10.646741019054495,147802535.7142857,LOW,8,-8,TURUN,-1
2026-03-17T00:00:00.000,270,278,260,276,589861800,49.94875940377004,-8.736497437684136,2.8959444661423994,-11.632441903826535,150863921.42857143,HIGH,-4,8,NAIK,1
2026-03-16T00:00:00.000,274,284,250,256,206165900,51.441080031822686,-10.389161275532274,1.9672667448298604,-12.356428020362134,116619750,HIGH,18,-4,TURUN,-1
2026-03-13T00:00:00.000,256,256,248,256,77980300,44.514027722695,-12.754718955468888,0.09352575110071193,-12.8482447065696,111900514.28571428,LOW,2,18,NAIK,1
2026-03-12T00:00:00.000,254,262,250,256,102961800,43.6851795982834,-13.755780300326649,-0.8841541559818715,-12.871626144344777,110294521.42857143,NORMAL,0,2,NAIK,1
2026-03-11T00:00:00.000,254,262,246,252,155518200,43.685179598283405,-14.629778157940336,-1.979190552591028,-12.650587605349308,105429957.14285715,NORMAL,6,0,TETAP,0
2026-03-10T00:00:00.000,248,252,238,240,124630600,41.42167925795823,-15.532520468451708,-3.376730501250158,-12.15578996720155,98059921.42857143,NORMAL,18,6,NAIK,1
2026-03-09T00:00:00.000,230,242,216,224,253679000,34.03578988484643,-15.847911265236007,-4.536303923346999,-11.311607341889008,94229950,HIGH,-12,18,NAIK,1
2026-03-06T00:00:00.000,242,248,234,244,47209200,36.917297989748164,-14.187222263819137,-4.009690902766879,-10.177531361052258,83594092.85714285,LOW,-4,-12,TURUN,-1
2026-03-05T00:00:00.000,246,254,242,246,59804900,37.91073486470876,-13.083037796355086,-3.9079291609945486,-9.175108635360537,89469092.85714285,LOW,12,-4,TURUN,-1
2026-03-04T00:00:00.000,234,254,230,254,98675200,32.879155183197405,-11.890670889935791,-3.6925445448238907,-8.1981263451119,104399307.14285715,NORMAL,-20,12,NAIK,1
2026-03-03T00:00:00.000,254,264,250,260,101014000,37.594037676931926,-8.974003734616133,-1.6990135257102068,-7.274990208905926,114710014.28571428,NORMAL,-2,-20,TURUN,-1
2026-03-02T00:00:00.000,256,274,254,270,112750200,38.101386100719544,-7.157108511141018,-0.30687168366264483,-6.850236827478374,114550478.57142857,NORMAL,-20,-2,TURUN,-1
2026-02-27T00:00:00.000,276,282,270,278,58521000,43.56011717302307,-4.937622483925338,1.835896422637373,-6.773518906562711,116196714.28571428,LOW,-2,-20,TURUN,-1
2026-02-26T00:00:00.000,278,290,272,286,123322800,44.1474329892641,-4.069294900331045,3.1631981118910097,-7.232493012222054,121621050,NORMAL,-6,-2,TURUN,-1
2026-02-25T00:00:00.000,284,296,280,294,110443400,45.87029609955372,-3.1054397678113332,4.917852772383473,-8.023292540194806,121537828.57142857,NORMAL,-8,-6,TURUN,-1
2026-02-24T00:00:00.000,292,310,290,308,140096600,48.19913030468803,-2.440949183863495,6.811806549427178,-9.252755733290673,125532028.57142857,NORMAL,-16,-8,TURUN,-1
2026-02-23T00:00:00.000,308,320,306,306,55496400,53.21678759043693,-2.3718583049501945,8.583849065697272,-10.955707370647467,132784235.71428572,LOW,2,-16,TURUN,-1
2026-02-20T00:00:00.000,306,316,304,314,34857900,52.64457573106515,-3.878264371428884,9.2234052656429,-13.101669637071783,137387092.85714287,LOW,-6,2,NAIK,1
2026-02-19T00:00:00.000,312,320,306,312,52337700,54.501578126231635,-5.540938814513595,9.866582138968912,-15.407520953482507,168033071.42857143,LOW,4,-6,TURUN,-1
2026-02-18T00:00:00.000,308,318,306,312,71011000,53.48587270961582,-8.193429630021626,9.680736858203108,-17.874166488224734,182949321.42857143,LOW,2,4,NAIK,1
2026-02-13T00:00:00.000,306,314,300,308,104777000,52.99871850492598,-11.052522567196945,9.241828135578565,-20.29435070277551,185452157.14285713,LOW,-2,2,NAIK,1
2026-02-12T00:00:00.000,308,312,298,308,129459200,53.51920146984768,-14.337364496941461,8.267443239728689,-22.60480773667015,191499292.85714287,LOW,0,-2,TURUN,-1
2026-02-11T00:00:00.000,308,312,284,290,268827900,53.51920146984769,-18.52511016731438,6.146558379287939,-24.67166854660232,188765035.7142857,NORMAL,20,0,TETAP,0
2026-02-10T00:00:00.000,288,294,258,262,243025100,49.21917058845706,-23.60074031142949,2.60756782999481,-26.2083081414243,177462335.7142857,NORMAL,32,20,NAIK,1
2026-02-09T00:00:00.000,256,260,236,244,98780500,41.12733632322832,-27.69944292720652,-0.8392428282835169,-26.860200098923002,167417135.7142857,LOW,18,32,NAIK,1
